|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_ETP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP|etp_total
U1043-1|||1|1|||1|1|3|3|0|0|0|0|1|2|0|0|0|0|||||1|1|0|0|2|2|||9
U1043-10|2|2|||||0|0|2|2|0|0|0,5|1|||0|0|0|0|||||1|1|0|0|0|0|||5,5
U1043-11|||||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||1
U1043-3|4|4|1|1|||0|0|1|1|0|0|0|0|||0|0|0|0|||||0,9|1|0|0|1|1|||7,9
U1043-4|2|2|||||1|1|2|2|0|0|0|0|||0|0|0|0|||||1,8|2|0|0|4|4|||10,8
U1043-5|1|1|3|3|||2|2|4|4|0|0|3|3|||1,9|5|0|0|1|1|||2,8|3|0|0|3|3|||21,7
U1043-6|1|1|2|2|||1|1|3|3|0|0|2|2|1,5|3|2,8|8|0|0|||||1,9|3|0|0|0|0|||15,2
U1043-7|1|1|2|2|||1|1|1|1|0|0|0|0|0,5|1|1,1|3|0|0|||||3|3|0|0|0|0|||9,6
U1043-8|1|1|||||0|0|3|3|0|0|1|1|||0,6|2|0|0|||||1|1|0|0|2|2|||8,6
U1043-9|||1|1|||1|1|7|7|0|0|0|0|0,5|1|2,95|9|0|0|||1|1|3,7|6|0|0|0|0|||17,15
U1045-1|2|2|||||2|2|4|4|0|0|0|0|4|8|1,2|3|0|0|||||4,9|5|0|0|0|0|||18,1
U1045-2|||||||2|2|2|2|0|0|0|0|1|2|5,2|15|0|0|||||4|4|0|0|0|0|||14,2
U1045-3|1|1|2|2|||12|12|12|12|0|0|0|0|1|2|6,05|13|0|0|||6|6|17|17|0|0|1|1|||58,05
U1045-4|||||||0|0|0|0|0|0|0|0|||0,3|1|0|0|||||0|0|0|0|0|0|||0,3
U1046-1|2,8|3|2|2|||1|1|4|4|0|0|0|0|1|2|3,8|8|0,5|1|||||0|0|0|0|0|0|||15,1
U1046-2|1|1|4|4|||1|1|8|8|0|0|0|0|||3|10|1|1|||||2|2|0|0|0|0|||20
U1046-3|4|4|1|1|||0|0|2|2|1|1|0|0|3,5|7|5,6|16|0|0|||||3,3|4|0|0|0|0|||20,4
U1046-4|2|2|1|1|||0|0|1|1|0|0|0|0|0,5|1|0|0|0|0|||||0|0|0|0|0|0|||4,5
U1047-1|3|3|||||1|1|3|3|1|1|1|1|0,5|1|1,85|4|1|1|||||0|0|0|0|0|0|||12,35
U1048-1|2|2|||||0|0|1|1|0|0|0|0|||0|0|0|1|||||3|3|0|0|1|1|||7
U1048-10|1|1|1|1|||0|0|0,4|1|0|0|0|0|||1,8|6|0|0|||||7|7|0|0|0|0|||11,2
U1048-11|4|4|1|1|||0|0|2|2|0|0|1|1|0,5|1|1,4|5|0|0|||||3|3|0|0|0|0|||12,9
U1048-12|1,9|2|||||0|0|0|0|0|0|0|0|0,5|1|1,85|6|0|0|||||4|4|0|0|1|1|1|1|10,25
U1048-2|4|4|||||0|0|1|1|0|0|0|0|1|2|0|0|1|1|||||2,8|3|0|0|0|0|||9,8
U1048-3|4|4|1|1|||0|0|4|4|0|0|1|1|1,5|3|0|0|0|0|||0,5|1|1|1|0|0|2|2|||15
U1048-4|2|2|0,5|1|||0|0|3|3|0|0|0|0|2,5|5|1,6|6|0|0|||||3,5|4|0|0|1|1|||14,1
U1048-5|3|3|1|1|||0|0|0|0|0|0|1|1|||0,9|3|1,5|2|||||3|3|0|0|0|0|||10,4
U1048-6|1|1|1|1|||0|0|4|4|0|0|0|0|1,3|3|1,85|4|1|1|||||0,8|1|0|0|0|0|||10,95
U1048-7|2|2|||||0|0|2|2|0|0|0|0|1|2|0,4|1|0|0|||||0,5|1|0|0|0|0|||5,9
U1048-8|2|2|||||0|0|1|1|0|0|0|0|1|2|1,5|5|0|0|||||2|2|0|0|0|0|||7,5
U1048-9|3|3|||||0|0|0,25|1|0|0|1|1|||1,7|5|0|0|||||4,8|5|0|0|0|0|||10,75
U1050-1|1|1|||||0|0|1|1|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||2
U1050-10|||||||1|1|1|1|0|0|0|0|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||3,5
U1050-11|||1|1|||0|0|0|0|0|0|0|0|1,5|3|0|0|0|0|||||0|0|0|0|0|0|||2,5
U1050-12|2|2|2|2|||2|2|1|1|0|0|2|2|||0|0|0|0|||||1|1|0|0|1|1|||11
U1050-13|||||||0|0|0|0|0|0|2|2|||0|0|0|0|||||0|0|0|0|1|1|||3
U1050-14|1|1|2|2|||0|0|1|1|0|0|1|1|||0|0|0|0|||||2|2|0|0|0|0|||7
U1050-15|||2|2|||0|0|2|2|0|0|0|0|0,5|1|0|0|0|1|||||1|1|0|0|0|0|||5,5
U1050-16|||1|1|||0|0|1|1|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||3
U1050-17|||||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||1
U1050-2|3|3|||||0|0|1|1|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||6
U1050-3|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1050-4|||1|1|||0|0|0|0|0|0|0|0|1|2|0|0|0|0|||1|1|2|2|0|0|1|1|||6
U1050-5|2|2|||||0|0|1|1|4|4|1|1|||0|0|0|0|||||2|2|0|0|1|1|||11
U1050-6|1|1|3|3|||1|1|5|5|0|0|2|2|0,5|1|0|0|0|1|||||5|5|0|0|0|0|||17,5
U1050-7|2|2|||||1,95|2|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||3,95
U1050-8|1|1|||||0|0|0|0|1|1|1|1|||0|0|0|0|||||0,8|1|0|0|0|0|||3,8
U1050-9|||1|1|||1|1|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|3|3|||6
U1051-1|4|4|||||0|0|1|1|0|0|1|1|0,5|1|0,5|2|0|0|||||3|3|0|0|3|3|||13
U1051-2|2|2|2|2|||0|0|3|3|0|0|0|0|1,75|3|0,5|3|0,3|1|||||1|1|0|0|0|0|||10,55
U1051-3|2|2|2|2|||0|0|3|3|0|0|0|0|2|4|0,4|4|0|0|1|1|||1|1|0|0|2|2|||13,4
U1051-4|||1|1|||0|0|2|2|0|0|0|0|3,25|7|1,35|5|0|0|||||0|0|0|0|1|1|||8,6
U1051-5|2|2|1|1|||1|1|5|5|0|0|0|0|0,5|1|0,8|6|2|2|||||1|1|0|0|0|0|||13,3
U1051-6|1|1|||||1|1|2|2|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||5
U1051-7|1|1|||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||2
U1051-8|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1052-1|3|3|3|3|||2|2|8|8|0|0|1|1|1,5|3|0,3|1|2|3|||0,5|1|5,6|6|0|0|1|1|||27,9
U1052-10|1|1|1|1|||2|2|2|2|0|0|2|2|||0|0|0|0|||||1|1|0|0|0|0|||9
U1052-11|||||||0|0|5|5|2|2|0|0|0,5|1|1,35|5|0|0|||||3|3|0|0|1|1|||12,85
U1052-12|6|6|2|2|||1|1|9|9|0|0|3|3|||1,2|5|0,5|1|||||5|5|0|0|4|4|0,2|1|31,9
U1052-13|3|3|2|2|||1|1|0|0|0|0|0|0|0,5|1|2,65|11|0|2|||||3|3|0|0|1|1|||13,15
U1052-15|2|2|||||0|0|2|2|0|0|0|0|0,5|1|0,3|1|0,1|1|||||0|0|0|0|2|2|||6,9
U1052-16|1|1|||||1|1|3|3|0|0|1|1|||0|0|0|0|||||1|1|0|0|0|0|||7
U1052-17|||2|2|||0|0|3|3|0|0|0|0|||2,3|3|0|0|1|1|||0,8|1|0|0|2|2|||11,1
U1052-18|2|2|||||1|1|2|2|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||6
U1052-2|6|6|||||8|8|8,5|9|0|0|1|1|2,5|5|4,8|7|1|1|||||5|5|0|0|4|4|||40,8
U1052-22|2|2|2|2|||1|1|1|1|0|0|0|0|||2,4|10|0,2|1|||||4,8|5|0|0|2|2|||15,4
U1052-3|2|2|1|1|||3|3|2|2|0|0|0|0|0,5|1|0|0|0|0|||||1|1|0|0|1|1|||10,5
U1052-4|1|1|||||0|0|3|3|0|0|0|0|1|2|0|0|0|0|||||1,9|2|0|0|0|0|||6,9
U1052-5|2|2|3|3|||0|0|4|4|0|0|1|1|2|3|0,3|1|0|0|||1|1|2|2|0|0|2|2|||17,3
U1052-6|1,9|2|||||0|0|4|4|0|0|1|1|1|2|0,2|1|0,8|2|||||3,2|5|0|0|1|1|||13,1
U1052-7|3|3|1|1|||1|1|3|3|0|0|0|0|2|4|2|7|0|0|||0,5|1|3|3|0|0|1|1|||16,5
U1052-8|3,8|4|1|1|||1|1|6|6|0|0|1|1|||0,4|3|1,5|3|||1|1|2,7|4|0|0|1|1|||19,4
U1052-9|1|1|2,8|3|||0|0|0|0|0|0|1|1|1|2|0,7|3|0|0|||||2,8|3|0|0|3|3|||12,3
U1053-1|2|2|1|1|||1|1|4|4|0|0|1|1|0,5|1|1,1|4|0|1|||1|1|5,6|6|0|0|0|0|||17,2
U1053-2|||||||0|0|2|2|0|0|0|0|0,5|1|2,3|8|0|0|||1|1|3|3|0|0|0|0|||8,8
U1053-3|||||||1|1|0|0|0|0|0|0|1|2|3,45|9|1|2|||||4,4|5|0|0|0|0|||10,85
U1054-1|||3|3|||1|1|0|0|0|0|0|0|0,5|1|0|0|0|0|||2|2|2|2|0|0|0|0|||8,5
U1054-10|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1054-2|1|1|1|1|||2|2|1|1|0|0|1|1|||0|0|0|0|||1|1|1|1|1|1|0|0|||9
U1054-3|1|1|1|1|||0|0|1|1|0|0|0|0|0,5|1|0|0|0|0|||2|2|1|1|0|0|2|2|||8,5
U1054-4|1|1|||||1|1|1|1|0|0|2|2|||0|0|0|0|||||1|1|0|0|1|1|||7
U1054-5|2|2|3,5|4|||0|0|1|1|0|0|0|0|0,5|1|0|0|0|0|||2,8|3|0|0|1|1|2|2|||12,8
U1054-6|1|1|2|2|||1|1|3|3|0|0|0|0|||0|0|0|0|1|1|||1,8|2|0|0|1|1|||10,8
U1054-8|1|1|4|4|1|1|1|1|1|1|0|0|0|0|||0|0|0|0|1|1|||2|2|0|0|0|0|||11
U1054-9|||1|1|||2|2|0|0|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||4
U1055-1|||||1|1|0|0|4|4|0|0|0|0|5|10|1,9|7|0|0|1|1|4|4|3|3|0|0|1|1|1|1|21,9
U1056-1|2|2|1|1|||0|0|1|1|1|1|1|1|||5,2|16|0,1|1|||||5|5|0|0|3|3|||19,3
U1058-1|||||||0|0|2|2|0|0|0|0|||1,9|6|4|4|||||10|10|0|0|3|3|||20,9
U1058-2|2|2|||||0|0|3|3|0|0|0|0|1|2|3,5|12|0|0|||||3|3|0|0|2,5|3|||15
U1059-1|2|2|1|1|||3|3|22|22|0|0|1|1|2,65|6|9|31|2,1|7|||2,5|4|19,05|31|0|0|0,5|1|||64,8
U1059-2|2|2|1|1|||4|4|26|26|0|0|1|1|2,65|6|9,3|32|2,1|7|||2,5|4|19,05|31|0|0|0,5|1|||70,1
U1060-1|4|4|1|1|1,8|2|0|0|4,5|5|0|0|1|1|1,45|3|4,25|12|0,25|1|||0,8|1|5,5|6|0|0|0|0|||24,55
U1060-2|||||2|2|1|1|0|0|0|0|0|0|||1|4|0|0|1|1|||2,8|3|0|0|2|2|||9,8
U1060-3|1|1|||1|1|0|0|3|3|0|0|0|0|0,5|1|1,1|4|0|0|0,7|1|||1|1|0|0|1|1|||9,3
U1060-4|3,8|4|1|1|1,8|2|0|0|5|5|0|0|0|0|4|8|4,4|13|0,7|3|||||6,8|7|0|0|0|0|||27,5
U1060-5|2|2|1|1|||2|2|10,6|11|0|0|1|1|4|8|6,75|21|0,5|1|2|2|||5|5|1|1|0|0|||35,85
U1061-1|5|5|||||2|2|2,35|3|1|1|2|2|||6,4|16|2,3|5|2,8|3|||9,65|11|1|1|1|1|||35,5
U1062-1|1|1|||2|2|1|1|1|1|0|0|0|0|1,5|3|0,9|3|0|0|||||4,8|5|0|0|0|0|||12,2
U1062-2|4|4|||3|3|3|3|10|10|0|0|0|0|1,5|3|4,4|10|3|3|||||7,2|8|0|0|1|1|||37,1
U1062-3|2|2|||||2|2|10|10|0|0|0|0|1,5|3|2,85|13|1,5|2|||1|1|5,8|6|0|0|1|1|1|1|28,65
U1062-4|1|1|||||0|0|1,3|2|0|0|0|0|1,5|3|1,3|5|0|0|||1|1|4|4|0|0|0|0|||10,1
U1062-5|1|1|||||0|0|0|0|0|0|0|0|||0,3|1|0|0|||||0|0|0|0|0|0|||1,3
U1063-1|2|2|1|1|||1|1|8|8|0|0|0|0|1|2|2|8|0,5|1|||1|1|5|5|0|0|0|0|||21,5
U1064-1|3|3|||||4|4|8,6|9|0|0|0|0|1|2|1,6|7|0,1|1|||||7,8|10|0|0|0|0|||26,1
U1064-2|2|2|1|1|||1|1|7,1|8|0|0|0|0|||0,8|5|1|1|1,4|2|0,1|1|5,2|6|1|1|3|3|||23,6
U1064-3|1|1|||||0|0|4|4|0|0|1|1|||1,15|3|3,45|5|||||9,8|10|1|1|0|0|||21,4
U1064-4|3,9|4|1|1|||5,3|6|9,7|11|0|0|1|1|0,25|1|3|16|0,5|2|||||10,6|11|1,7|2|1|1|||37,95
U1064-5|||||||0|0|1,8|3|0|0|1|1|0,5|1|0,35|1|0,1|1|||||1|1|0|0|0|0|||4,75
U1065-1|5|5|||||1|1|0|0|0|0|1|1|||0,3|1|0|0|||||1,8|2|1|1|2|2|||12,1
U1065-10|3|3|||||0|0|0|0|0|0|0|0|||1,8|4|0|0|||1|1|2|2|0|0|0|0|||7,8
U1065-11|2|2|||||1|1|0|0|0|0|0|0|0,3|1|0|0|0|0|||||0|0|0|0|1|1|||4,3
U1065-12|2|2|1|1|||0|0|1|1|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||5
U1065-13|1|1|1|1|||1|1|0|0|0|0|2|2|0,5|1|0,3|1|0|0|||||0,8|1|0|0|0|0|||6,6
U1065-14|3|3|||||0|0|0|0|0|0|1|1|||0,15|1|0|0|||||1|1|0|0|0|0|||5,15
U1065-15|2|2|||||0|0|1|1|0|0|0|0|||0,3|1|0|0|||||0,8|1|0|0|2|2|||6,1
U1065-2|3|3|||||0|0|0|0|1|1|0|0|||0,25|1|0|0|||||0|0|0|0|4|4|||8,25
U1065-3|3,8|4|||||1|1|1|1|0|0|1|1|||0,5|1|0|0|||||1|1|0|0|1|1|||9,3
U1065-6|3|3|1|1|||0|0|1|1|0|0|0|0|||0,75|1|0|0|||||1|1|0|0|0|0|||6,75
U1065-7|3,9|4|2|2|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0,8|1|0|0|0|0|||6,7
U1065-8|3|3|||||0|0|0|0|1|1|0|0|||2,4|7|0|0|||0,9|1|1|1|0|0|0|0|||8,3
U1065-9|2|2|||||0|0|0|0|0|0|0|0|1|2|0,3|1|0|0|||||1|1|0|0|0|0|||4,3
U1066-1|1|1|1|1|||1|1|12|12|0|0|0|0|6|12|2,1|7|1,1|3|||1,5|2|3,1|4|0|0|0|0|||28,8
U1067-1|3|3|3|3|||1|1|6|6|0|0|2|2|0,5|1|1,5|6|2,2|4|1|1|||3|3|0|0|1|1|||24,2
U1067-2|||||||0|0|1|1|0|0|0|0|0,5|1|0|0|0|0|||||0|0|0|0|0|0|||1,5
U1068-1|4|4|||||0|0|0|0|0|0|0|0|||3,6|9|1|1|2|2|||9,5|10|1|1|0|0|||21,1
U1068-10|||6|6|||0|0|0|0|0|0|0|0|0,5|1|0|0|0|0|||||4|4|0|0|1|1|||11,5
U1068-11|||3|3|||0|0|1|1|0|0|0|0|||0|0|0|0|||1|1|0|0|0|0|0|0|||5
U1068-12|2|2|1|1|||0|0|0|0|0|0|1|1|||0|0|0|0|||||2|2|0|0|0|0|||6
U1068-14|1|1|7|7|||0|0|0|0|0|0|0|0|0,5|1|0|0|0|0|||1|1|4|4|0|0|4|4|||17,5
U1068-15|||3|3|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|1|1|0|0|||4
U1068-17|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1068-18|6|6|1|1|||0|0|0|0|0|0|1|1|||0,3|1|0|0|||||7|7|0|0|0|0|||15,3
U1068-19|||2|2|||0|0|0|0|0|0|1|1|||0|0|1|1|||1|1|1|1|0|0|0|0|||6
U1068-2|2|2|1|1|||0|0|0|0|0|0|3|3|||1,3|2|0|0|2|2|1|1|2,5|3|0|0|0|0|||12,8
U1068-20|2|2|||||0|0|1|1|0|0|2|2|||1,35|4|0|1|||||1|1|1|1|0|0|||8,35
U1068-21|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1068-22|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||1
U1068-3|4|4|||||0|0|0|0|2|2|0|0|||0|0|0|0|||||2|2|0|0|0|0|||8
U1068-5|2|2|||||0|0|0|0|0|0|0|0|0,5|1|0|0|1|1|||||0,9|1|0|0|1|1|||5,4
U1068-6|||1|1|||0|0|0|0|0|0|0|0|||0,2|1|0|0|1|1|||0|0|1|1|0|0|||3,2
U1068-7|||||||0|0|0|0|0|0|0|0|||0|0|0|0|||1|1|0|0|0|0|0|0|||1
U1069-1|||||||4|4|8|8|0|0|1|1|4,5|9|4,7|14|1,5|2|||||6,8|7|0|0|0|0|1|1|31,5
U1070-1|||||||1|1|6|6|0|0|1|1|2|4|2,55|7|0|0|||||4,2|5|0|0|0|0|||16,75
U1071-1|1|1|||||1|1|6|6|0|0|0|0|3,3|7|3,3|11|0|0|||1|1|9|11|0|0|1|1|||25,6
U1072-1|1|1|3|3|||0|0|2|2|0|0|1|1|2|4|0,3|1|0|0|1|1|||4,6|5|0|0|1|1|||15,9
U1072-2|2|2|||||0|0|2|2|0|0|2|2|0,5|1|0|0|0|0|||||1,7|2|0|0|0|0|||8,2
U1073-1|1|1|||||0|0|9|9|0|0|0|0|1|2|6|20|1,2|3|||||7,2|8|0|0|0|0|||25,4
U1074-1|||||||4|4|5|5|0|0|0|0|||0|0|1|1|||||4|4|0|0|0|0|1|1|15
U1075-1|1|1|||||2|2|8|8|0|0|0|0|8,05|17|4,6|12|0|0|||||1,9|3|0|0|0|0|||25,55
U1077-1|1|1|||||0|0|2|2|0|0|0|0|2,5|5|1,4|4|1,2|2|||||0,2|1|0|0|0|0|||8,3
U1077-2|1,9|2|||||0|0|10|10|0|0|1|1|2,6|6|1,5|6|0,7|1|||||1,8|2|0|0|1|1|||20,5
U1078-1|5|5|||||1|1|1|1|1|1|1|1|2,8|6|7|18|1,6|4|1|1|||23,8|25|0|0|2|2|||47,2
U1081-1|1|1|2|2|||1|1|8|8|0|0|0|0|0,5|1|1,3|2|1|2|||1|1|2|2|1|1|2|2|||20,8
U1081-10|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||1|1|1|1|1|1|0|0|||4
U1081-11|1|1|1|1|||0|0|1|1|0|0|0|0|||0,6|2|0|1|||||1|1|0|0|0|0|||4,6
U1081-12|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|1|1|||1|1|0|0|0|0|||3
U1081-2|1|1|||||0|0|2|2|0|0|2|2|||0,3|1|0|0|||||2|2|0|0|0|0|||7,3
U1081-3|||||||0|0|1|1|1|1|1|1|0,8|2|1,6|3|0|0|||1|1|4|4|0|0|1|1|||11,4
U1081-4|2|2|2|2|||1|1|6|6|0|0|1|1|||3,1|8|0|0|||||1|1|0|0|2|2|||18,1
U1081-5|3|3|||||0|0|2|2|0|0|1|1|||0|0|0|0|||||1|1|0|0|0|0|||7
U1081-6|2|2|3|3|||1|1|1|1|0|0|1|1|0,5|1|1|1|0|1|||||1|1|0|0|1|1|||11,5
U1081-7|||1|1|||0|0|0|0|0|0|0|0|||4,6|6|2|2|||||9|9|1|1|0|0|||17,6
U1081-8|||1|1|||1|1|2|2|0|0|1|1|1,5|3|0|0|0|0|||||1|1|0|0|0|0|||7,5
U1081-9|||1|1|||0|0|2|2|1|1|2|2|||0|0|1|1|||||2|2|1|1|1|1|||11
U1082-1|1|1|1|1|||0|0|5|5|0|0|0|0|1,6|4|6,2|16|2|2|||2|2|5,9|8|0|0|3|3|||27,7
U1083-1|2|2|2|2|||2|2|12|12|0|0|0|0|1,5|3|3,5|12|0,5|1|||1|1|11|11|0|0|0|0|||35,5
U1083-2|||1|1|||2|2|3|3|0|0|1|1|1|2|4,4|10|0,5|1|||||8|8|0|0|0|0|||20,9
U1084-1|||||||3|3|4|4|0|0|0|0|1|2|0,8|3|0|0|||1|1|1|1|1|1|1|1|||12,8
U1084-2|||1|1|||0|0|3|3|0|0|0|0|1,5|3|0,5|3|0|0|||||3|3|0|0|0|0|||9
U1084-3|2|2|1|1|||0|0|3|3|0|0|1|1|0,5|1|1|1|0|0|||1|1|1|1|0|0|0|0|||10,5
U1085-1|||||||0|0|4|4|0|0|0|0|3|6|2,65|7|1|1|||||2,7|3|0|0|3|3|||16,35
U1085-10|2|2|||||0|0|5|5|1|1|0|0|||1,9|5|0|0|1|1|||2|2|3,4|4|6|6|1|1|23,3
U1085-2|3,9|4|||||0|0|5|5|0|0|0|0|1,5|3|1,4|6|0|0|||||3,5|4|0|0|2|2|||17,3
U1085-3|||1|1|||0|0|4|4|0|0|0|0|2,5|5|0|0|0|0|||||1,4|2|0|0|2|2|||10,9
U1085-4|1|1|||||0|0|1|1|0|0|0|0|||0|0|0|0|||||0|0|0|0|0|0|||2
U1085-5|4|4|||||1|1|2|2|0|0|0|0|0,5|1|0|0|0|0|||||1,8|2|0|0|0|0|||9,3
U1085-6|||2|2|||2|2|2|2|1|1|1|1|5,5|11|0|0|0|1|||||2,9|3|0|0|0|0|||16,4
U1085-7|4|4|||||0|0|0|0|1,8|2|0|0|0,5|1|0|0|0|0|1|1|||3|3|1|1|0|0|||11,3
U1085-8|4|4|||||0|0|3|3|2|2|0|0|3|5|1,5|7|0|0|1|1|||3|3|1|1|2|2|||20,5
U1085-9|2|2|||||1|1|5|5|1,25|2|0|0|3,4|7|1,5|7|1|2|0,4|1|||0,8|1|0|0|0|0|||16,35
U1086-1|0,5|1|1|1|||2|2|14|14|1|1|1|1|4|8|10,75|24|6,9|9|||||20,6|22|0|0|1|1|7|8|69,75
U1087-1|3|3|1|1|||0|0|3|3|1|1|1|1|0,5|1|1,3|6|0|0|1|1|1|1|3,3|5|0|0|2|2|||18,1
U1087-2|3|3|6|6|||0|0|10|10|0|0|0|0|2|4|1,4|5|0,5|1|||||8,3|10|0|0|1|1|||32,2
U1087-3|2|2|||||0|0|2|2|0|0|1|1|1,2|3|0,4|2|0|0|1|1|||3,3|5|0|0|0|0|||10,9
U1087-4|1|1|1|1|||0|0|2|2|0|0|2|2|0,5|1|0,7|2|0,2|1|1|1|||5,2|6|1|1|0|0|||14,6
U1087-5|||||||0|0|1|1|0|0|1|1|||1|1|0|0|||||0|0|0|0|0|0|||3
U1089-1|3|3|||||2|2|4|4|0|0|0|0|0,5|1|0,7|3|2|2|1|1|0,8|1|39,2|41|0|0|0|0|1|1|54,2
U1090-1|3,9|4|3|3|||3|3|14|14|0|0|1|1|3|6|0,3|1|0|0|3|3|0,5|1|2|2|1|1|3|3|||37,7
U1091-1|||2|2|||1|1|3|3|0|0|0|0|0,15|1|0|0|0|0|||||1|1|0|0|0|0|||7,15
U1091-10|2|2|1,8|2|||0|0|3|3|0|0|0|0|||0,4|2|0|0|||1|1|1|1|0|0|0|0|||9,2
U1091-11|||0,5|1|||1|1|3|3|0|0|0|0|1|2|0|0|0|0|||||0|0|0|0|2|2|||7,5
U1091-12|4|4|3|3|||0|0|2|2|0|0|0|0|||0|0|0|0|||||0|0|0|0|1|1|||10
U1091-13|||2|2|||0|0|1|1|0|0|1|1|0,5|1|0|0|0|0|||||1|1|0|0|1|1|||6,5
U1091-14|2|2|||||0|0|1|1|0|0|1|1|||0|0|0|0|1|1|||0|0|1|1|0|0|||6
U1091-15|1|1|||||1|1|2|2|0|0|2|2|0,5|1|0|0|0|0|||||0|0|0|0|1|1|||7,5
U1091-16|1|1|2|2|||0|0|3|3|0|0|2|2|1|2|0|0|0|0|||||1|1|0|0|0|0|||10
U1091-17|1|1|||||1|1|2|2|0|0|0|0|0,5|1|0,5|3|0|0|||||1|1|0|0|0|0|||6
U1091-18|||0,3|1|||1|1|2|2|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||4,3
U1091-19|||1|1|||0|0|0|0|0|0|2|2|||0|0|0|0|||||0|0|0|0|1|1|||4
U1091-2|||2|2|||0|0|4|4|0|0|0|0|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||7,5
U1091-21|1|1|||||0|0|3|3|0|0|2|2|||0|0|0|0|||||0|0|0|0|1|1|||7
U1091-22|1|1|3|3|||0|0|0|0|0|0|0|0|||0,2|1|0,2|1|||||0,8|1|0|0|0|0|||5,2
U1091-23|||1|1|||0|0|0|0|0|0|0|0|||0|0|0|0|||||1|1|0|0|0|0|||2
U1091-24|||3|3|||0|0|0|0|0|0|0|0|0,5|1|0|0|0|0|||||1|1|0|0|0|0|||4,5
U1091-25|2|2|2|2|||0|0|0|0|0|0|0|0|||1|5|0|0|||||2|2|0|0|0|0|||7
U1091-26|2|2|||||0|0|0|0|0|0|0|0|||0,8|3|0|0|||1|1|0|0|2|2|0|0|||5,8
U1091-27|||||||0|0|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|1|1|||2
U1091-28|||1|1|||1|1|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|0|0|||3
U1091-3|||2|2|||1|1|1|1|0|0|0|0|||0|0|0|0|||||0,8|1|0|0|0|0|||4,8
U1091-4|1|1|2|2|||0|0|3|3|0|0|0|0|1|2|0|0|0|0|||||1|1|0|0|0|0|||8
U1091-6|3|3|||||0|0|2|2|0|0|0|0|0,5|1|0,3|1|1|1|||||1|1|0|0|0|0|||7,8
U1091-7|||||||0|0|3,5|4|0|0|0|0|1,5|3|0|0|0|0|||||1|1|0|0|1|1|||7
U1092-1|1|1|||||1|1|4|4|0|0|0|0|1|2|2,6|9|1|2|1|1|||2,1|4|1|1|0|0|||14,7
U1093-1|||1|1|||1|1|10|10|0|0|0|0|11|22|3,05|11|2|4|||||7|8|0|0|0|0|||35,05
U1094-1|||||||0|0|10|10|1,2|2|0|0|2,3|5|6|22|2,7|4|||1|1|7|11|0|0|1|1|||31,2
U1096-1|1|1|||||0|0|6|6|0|0|0|0|1|2|11,6|21|1|1|1|1|1|1|5|5|0|0|0|0|||27,6
