|Chercheurs _Inserm_ETP|Chercheurs _Inserm_PP|Cherceurs_CNRS_ETP|Cherceurs_CNRS_ETP|Chercheurs_autres_ETP|Chercheurs_autres_PP|Post-Doctorants_ETP|Post-Doctorants_PP|Doctorants_ETP|Doctorants_PP|CDI_Chercheurs_ETP|CDI_Chercheurs_PP|CDD_Chercheurs_ETP|CDD_Chercheurs_PP|Ens-Chercheurs_ETP|Ens-Chercheurs_PP|PU-PH_ETP|PU-PH_PP|Hosp-Autres_ETP|Hosp-Autres_PP|IR_Inserm_ETP|IR_Inserm_PP|IR_non_Inserm_ETP|IR_non_Inserm_PP|IngT _ETP|IngT _PP|CDD_IR_ETP|CDD_IR_PP|CDD_Autres_ETP|CDD_Autres_PP|Admin_ETP|Admin_PP|etp_total
U938-7|1|1|||||0|0|1|1|0|0|0|0|0,5|1|1,65|5|0|0|||||2|2|0|0|0|0|||6,15
U938-8|||||||1|1|1|1|0|0|0|0|1|2|0,9|3|0,1|1|||||1,5|2|0|0|0|0|||5,5
U938-9|2|2|||||0|0|0|0|0|0|0|0|0,5|1|2,1|6|0|1|1|1|||0,8|1|0|0|0|0|||6,4
U941-1|||||||0|0|1|1|0|0|0|0|||2,8|8|0|0|||||0|0|0|0|0|0|||3,8
U941-2|1|1|||||0|0|0|0|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||3
U942-1|2|2|0,8|1|||0|0|4,45|5|0|0|1|1|0,3|1|9,1|25|4,3|6|1|1|||4,3|5|0|0|1|1|||28,25
U942-2|||||||1|1|1|1|0|0|0|0|0,3|1|2,4|5|1|1|||||3|3|0|0|0|0|||8,7
U944-1|2|2|3|3|||1|1|1|1|0|0|0|0|1|2|0,8|1|0|0|||2|2|5,8|6|0|0|0|0|||16,6
U944-2|2|2|||||0|0|1|1|0|0|0|0|||0|0|0|0|||||2|2|0|0|0|0|||5
U944-3|1|1|1|1|||1|1|0|0|0|0|1|1|||0|0|0|0|||||0|0|0|0|1|1|||5
U944-4|1|1|||||0|0|1|1|0|0|0|0|1|2|0,6|2|0|0|||||1|1|0|0|0|0|||4,6
U944-5|||3|3|||1|1|2|2|0|0|0|0|1|2|0|0|0|0|||||1|1|0|0|0|0|||8
U944-6|||||||1|1|0|0|0|0|1|1|||0,6|2|0|0|||||5|5|0|0|0|0|||7,6
U944-7|1|1|||||0|0|0|0|0|0|2|2|||0,3|1|0|0|||||0|0|0|0|0|0|||3,3
U946-1|5|5|||||0|0|3|3|0|0|1|1|||0,3|1|1|1|1|1|||1,8|2|0|0|0|0|||13,1
U951-1|0|1|||||5|5|5,5|6|0|0|0|0|2|4|0|0|3|3|||||11,8|12|0|0|0|0|||27,3
U951-2|2|2|1|1|||6|6|5|5|0|0|1|1|||0|0|3|3|||||10|10|0|0|1|1|||29
U955-1|||1|1|||0|0|0|0|0|0|0|0|||1|3|1,3|2|||||2|2|0|0|0|0|1|1|6,3
U955-10|||3|3|||0|0|0|0|2|2|2|2|4,1|9|2,9|10|6,5|9|||1|1|9|9|0|0|4,5|5|1|1|36
U955-12|2|2|||||0|0|0|0|0|0|1|1|||0|0|0|0|||||1|1|0|0|0|0|||4
U955-13|1|1|1,5|2|||0|0|3|3|0|0|0|0|||4,9|12|2,2|3|||||0|0|0|0|0|0|||12,6
U955-14|||||||0|0|0|0|0|0|0|0|||0,9|4|1|1|||||0|0|0|0|1|1|||2,9
U955-15|1|1|||||1,6|2|4|4|1|1|0|0|0,5|1|4,3|13|2,3|3|||||1|1|0|0|1|1|||16,7
U955-16|||||||3,65|4|3|3|0|0|1|1|1,5|3|1,1|4|0,7|5|2|2|2,9|3|4,7|5|0|0|4,5|5|1,1|2|26,15
U955-18|1|1|||||0|0|1,25|2|0|0|2|2|1|2|5,95|15|0,3|1|1|1|||4|5|0|0|3|3|||19,5
